block_full_fidelity_mean,block_full_fidelity_min,block_gauge_fidelity,block_rotation_fidelity_mean,block_rotation_fidelity_min,chi_hz,duration_ns,experiment_id,family_id,family_label,full_fidelity_after_ideal_snap,full_unitary_fidelity,kerr_hz,lambda_family,n_levels,n_max,off_block_norm,phase_error_affine_rms_rad,phase_error_max_abs_rad,phase_error_rms_rad,residual_post_z_rms_rad,residual_pre_z_rms_rad,snap_benchmark_improvement,title
0.7821504915588289,0.7130332539421809,0.7793929354613521,0.7821504915588285,0.7130332539421809,-2840000.0,700.0000000000001,uniform_pi_kerr_cancel_N2_T700ns,D_extended_phase,Construction D: extended ansatz with explicit block-phase objective,0.7793929354613522,0.77918028856697,-30000.0,kerr_cancel,3,2,0.0,8.882667641127572e-05,0.040086574877804065,0.025827303742850295,2.8626037413634173,3.0994561709763953,0.00021264689438227347,"Uniform pi target, kerr_cancel phase, N=2"
0.5195815899412708,0.21675526721244603,0.4709016718106531,0.5195815899412708,0.21675526721244598,-2840000.0,700.0000000000001,uniform_pi_kerr_cancel_N3_T700ns,A_naive,Construction A: naive baseline SQR,0.47090167181065296,0.4707227150287494,-30000.0,kerr_cancel,4,3,0.0,0.00018852888978249774,0.060695702936991114,0.03769989763735884,0.38031361386536117,0.3765179429006255,0.0001789567819035498,"Uniform pi target, kerr_cancel phase, N=3"
0.5780662868137412,0.36958462852500895,0.5570938819547213,0.5780662868137412,0.36958462852500895,-2840000.0,700.0000000000001,uniform_pi_kerr_cancel_N3_T700ns,B_extended_rot,"Construction B: enlarged per-tone ansatz, rotation-only cost",0.5570938819547213,0.19581772331049105,-30000.0,kerr_cancel,4,3,0.0,0.00018851106187145464,0.06069563537083417,0.0376998715605671,1.027518738740175,1.611722606813875,0.36127615864423024,"Uniform pi target, kerr_cancel phase, N=3"
0.7429515266934293,0.6856842282951077,0.740430262539362,0.7429515266934291,0.6856842282951077,-2840000.0,700.0000000000001,uniform_pi_kerr_cancel_N3_T700ns,C_chirp_rot,"Construction C: chirped/loop-capable ansatz, rotation-only cost",0.740430262539362,0.0012596946588085047,-30000.0,kerr_cancel,4,3,0.0,0.00018855067775978073,0.060695806073177316,0.03769994335665324,1.9920512919140203,2.0855003620342334,0.7391705678805535,"Uniform pi target, kerr_cancel phase, N=3"
0.8524863757725079,0.7761686741832037,0.8516198767713503,0.8524863757725079,0.7761686741832037,-2840000.0,700.0000000000001,uniform_pi_kerr_cancel_N3_T700ns,D_extended_phase,Construction D: extended ansatz with explicit block-phase objective,0.8516198767713503,0.8511884258007378,-30000.0,kerr_cancel,4,3,0.0,0.00018850367089943634,0.06069560210365382,0.03769985720630142,0.36002838697184136,0.3559773738212403,0.00043145097061247917,"Uniform pi target, kerr_cancel phase, N=3"
0.9686680994883323,0.9511760139524771,0.9686153897759796,0.9686680994883322,0.9511760139524769,-2840000.0,700.0000000000001,uniform_pi_kerr_cancel_N3_T700ns,D_chirp_phase,Construction D: chirped ansatz with explicit block-phase objective,0.9686153897759796,0.9681180007557768,-30000.0,kerr_cancel,4,3,0.0,0.00018855204438996686,0.06069583027846642,0.03769995790106852,3.0754738309928786,3.0929827507470082,0.0004973890202027986,"Uniform pi target, kerr_cancel phase, N=3"
0.5221153634475838,0.13161142468494802,0.45609057040531825,0.5221153634475837,0.13161142468494802,-2840000.0,700.0000000000001,uniform_pi_kerr_cancel_N4_T700ns,A_naive,Construction A: naive baseline SQR,0.4560905704053183,0.45583063532160595,-30000.0,kerr_cancel,5,4,0.0,0.0003142290277446656,0.081674942679407,0.04971045843498036,0.38140092064166425,0.3825385959959368,0.0002599350837123593,"Uniform pi target, kerr_cancel phase, N=4"
0.8642692233406685,0.8046773603663401,0.8629929655174323,0.8642692233406685,0.8046773603663401,-2840000.0,700.0000000000001,uniform_pi_kerr_cancel_N4_T700ns,D_extended_phase,Construction D: extended ansatz with explicit block-phase objective,0.8629929655174324,0.8622721187239307,-30000.0,kerr_cancel,5,4,0.0,0.0003142714063441703,0.08167636550841129,0.049711301487886446,2.9249946373612223,2.9961722898828755,0.000720846793501706,"Uniform pi target, kerr_cancel phase, N=4"
0.41544430048600756,0.02504144732820724,0.3271455656478406,0.41544430048600745,0.025041447328207223,-2840000.0,450.00000000000006,uniform_pi_kerr_cancel_N3_T450ns,A_naive,Construction A: naive baseline SQR,0.3271455656478406,0.22973056406416664,-30000.0,kerr_cancel,4,3,0.0,0.7024815423895113,1.359555618684233,0.8459755083840467,1.34950628941512,0.7298526897716276,0.09741500158367394,"Uniform pi target, kerr_cancel phase, N=3"
0.7366298664646922,0.6777602759190935,0.7335595863588087,0.7366298664646922,0.6777602759190935,-2840000.0,450.00000000000006,uniform_pi_kerr_cancel_N3_T450ns,D_extended_phase,Construction D: extended ansatz with explicit block-phase objective,0.7335595863588089,0.044521650941937815,-30000.0,kerr_cancel,4,3,0.0,0.7024815033005485,1.3595557127464346,0.845975620119552,2.0832038784542672,1.9142219628612362,0.6890379354168711,"Uniform pi target, kerr_cancel phase, N=3"
