block_gauge_grad,block_rotation_mean_grad,block_rotation_min_grad,family_id,max_abs_phase_grad,metric_grad_norm,metric_shift_minus,metric_shift_plus,parameter_index,phase_grad_norm,phase_shift_minus_rad,phase_shift_plus_rad,step_size
1.006492336443195e-11,1.0064869675454131e-11,2.629045416486962e-11,piecewise_iq,2.8578596360500864e-12,2.989635870989768e-11,7.389984892433303e-05,6.814303995480551e-05,11,2.948607869485057e-12,1.3764962099230494e-07,7.113523175717326e-07,201061.92982974648
9.373767208795519e-12,9.373535223223182e-12,1.4237084456890207e-11,piecewise_iq,1.4493102574833293e-12,1.945315522218235e-11,7.341207977956851e-05,6.950122036537941e-05,15,1.4574227235334496e-12,1.443196901340267e-06,1.1506469558991257e-06,201061.92982974672
4.034878452432896e-11,4.034879921893333e-11,1.2215955208310526e-11,piecewise_iq,6.570868918211739e-13,5.835477334933254e-11,7.380403412370848e-05,6.405946822633027e-05,16,6.602044403308232e-13,4.150016662640382e-07,5.47418334183572e-07,201061.92982974672
-1.8807027321288227e-11,-1.8806994743794287e-11,7.54189958712537e-12,piecewise_iq,5.163745630513429e-12,2.7645751524222843e-11,6.0617414789911436e-05,6.326125333161583e-05,19,5.240278677077238e-12,1.1730190768180426e-07,9.363296459393293e-07,201061.92982974678
4.231683676524669e-09,4.141545263458987e-09,1.8218996269300617e-08,piecewise_wait,7.125395029474607e-13,1.915701879124815e-08,0.001971304015732778,0.0018814292220643383,0,8.849853803659736e-13,5.919287254538678e-07,7.319414713921966e-07,201061.92982974648
-2.6047867268397306e-09,-2.548994561081622e-09,-1.1267258125951758e-08,piecewise_wait,2.582852773971777e-12,1.1842018106791176e-08,0.0011593227390651333,0.00122314460519467,2,2.5873228983452765e-12,2.974242392296304e-06,2.4632110342249347e-06,201061.92982974648
3.327697952615209e-09,3.2686966930154104e-09,1.247498102734801e-08,piecewise_wait,8.146664227164429e-13,1.3318524819493417e-08,0.0013699827688188,0.0013089738199131447,4,9.722233188475481e-13,6.471358669998697e-07,4.979061089543366e-07,201061.92982974695
-4.5772462221410887e-10,-4.503145254590335e-10,-1.6047474777586735e-09,piecewise_wait,2.177325320463282e-12,1.7284413409176682e-09,0.00013860531199778138,0.0002178757078470718,7,2.1875988588919673e-12,2.845502056658954e-07,1.553122794268711e-07,201061.92982974648
-1.6587226273080079e-09,-1.6277866381858187e-09,-6.4544144117170986e-09,piecewise_wait,3.158343335824382e-13,6.8600667264962705e-09,0.0006608898598398628,0.000720125947205752,8,3.2232153893351866e-13,5.525618866193539e-07,4.882213335171472e-07,201061.92982974648
8.49399209290542e-10,8.233272979312463e-10,4.904768549369319e-09,piecewise_wait,1.303365531061981e-12,5.045403985722509e-09,0.0005395989991796166,0.00047852965014598994,11,1.3257792674552214e-12,1.8851980602656468e-07,8.103774698207184e-08,201061.92982974648
-6.261731459517725e-10,-6.068655196620543e-10,-3.6272876467400968e-09,piecewise_wait,1.6583866017373855e-12,3.7306292016038185e-09,0.0003475359501202286,0.00040721869047503093,12,1.6655604446531783e-12,4.0716431847193884e-08,2.950438236607034e-07,201061.92982974648
