block_gauge_fidelity,block_rotation_fidelity_mean,block_rotation_fidelity_min,category,duration_ns,family_id,full_unitary_fidelity,ideal_post_snap_fidelity,label,lambda_impl_relative_rad,lambda_target_relative_rad,max_abs_phase_shift_from_family_baseline_rad,n_levels,phase_error_rms_rad,phase_steering_distance_from_drift_rad,snap_gap,target_category,target_distance_from_drift_rad,target_name
1.0000017465144864,1.000001746514579,1.0000012589862577,piecewise_iq_fixed_T,702.0,piecewise_iq,0.9567044135615321,1.0000017465144864,Piecewise-constant IQ,"[0.0, 0.019854841349924997, 0.17203272098100694, 0.4565292469845213]","[0.0, -0.38358196631412833, -0.18535917831051535, -0.12144075180652536]",0.0,4,0.3951390726566681,3.527096942253237e-06,0.04329733295295424,random_medium,0.39514183949454723,random_medium_a
1.0000017465144864,1.000001746514579,1.0000012589862577,piecewise_iq_fixed_T,702.0,piecewise_iq,0.970628604992992,1.0000017465144864,Piecewise-constant IQ,"[0.0, 0.019854841349924997, 0.17203272098100694, 0.4565292469845213]","[0.0, -0.0903433952838546, -0.17040851006458624, 0.5832552195435631]",0.0,4,0.19070207143490264,3.527096942253237e-06,0.029373141521494395,random_medium,0.19070131324105835,random_medium_b
1.0000017465144864,1.000001746514579,1.0000012589862577,piecewise_iq_fixed_T,702.0,piecewise_iq,0.8582563634801547,1.0000017465144864,Piecewise-constant IQ,"[0.0, 0.019854841349924997, 0.17203272098100694, 0.4565292469845213]","[0.0, -0.1502687665241355, -0.27375829854180106, -0.5667744960900678]",0.0,4,0.5645401282534609,3.527096942253237e-06,0.1417453830343317,random_medium,0.5645434772604646,random_medium_c
1.0000017465144864,1.000001746514579,1.0000012589862577,piecewise_iq_fixed_T,702.0,piecewise_iq,0.4201566708788622,1.0000017465144864,Piecewise-constant IQ,"[0.0, 0.019854841349924997, 0.17203272098100694, 0.4565292469845213]","[0.0, -1.130145134429314, 1.022033613710573, -0.8434637555803317]",0.0,4,0.9663052401610595,3.527096942253237e-06,0.5798450756356242,stress,0.9663074045043845,far_from_drift
0.9874033883502638,0.9875204952296031,0.9505045229391265,piecewise_iq_wait_fixed_T,702.0,piecewise_wait,0.28175053068604056,0.9874033883502638,Segmented IQ with inserted wait,"[0.0, 0.01985479959064698, 0.1720329232814938, 0.4565310409787665]","[0.0, 0.0, 0.0, 0.0]",0.0,4,0.2441362996036831,2.624730600346237e-06,0.7056528576642231,structured,0.24413885516339046,zero
0.9874033883502638,0.9875204952296031,0.9505045229391265,piecewise_iq_wait_fixed_T,702.0,piecewise_wait,0.256251223197009,0.9874033883502638,Segmented IQ with inserted wait,"[0.0, 0.01985479959064698, 0.1720329232814938, 0.4565310409787665]","[0.0, 0.01985486557068583, 0.1720336137105729, 0.45653624441966834]",0.0,4,2.624730600346237e-06,2.624730600346237e-06,0.7311521651532548,structured,0.0,natural_drift
0.9874033883502638,0.9875204952296031,0.9505045229391265,piecewise_iq_wait_fixed_T,702.0,piecewise_wait,0.2564395513147609,0.9874033883502638,Segmented IQ with inserted wait,"[0.0, 0.01985479959064698, 0.1720329232814938, 0.4565310409787665]","[0.0, 0.0, 0.1323238825692021, 0.39697164770760635]",0.0,4,0.03714277287677885,2.624730600346237e-06,0.7309638370355028,structured,0.0371450522129817,kerr_cancel
0.9874033883502638,0.9875204952296031,0.9505045229391265,piecewise_iq_wait_fixed_T,702.0,piecewise_wait,0.2352228813295666,0.9874033883502638,Segmented IQ with inserted wait,"[0.0, 0.01985479959064698, 0.1720329232814938, 0.4565310409787665]","[0.0, 0.24, -0.24, 0.24]",0.0,4,0.2574493789264774,2.624730600346237e-06,0.7521805070206972,structured,0.25745073518426237,alternating
0.9874033883502638,0.9875204952296031,0.9505045229391265,piecewise_iq_wait_fixed_T,702.0,piecewise_wait,0.37003857078476876,0.9874033883502638,Segmented IQ with inserted wait,"[0.0, 0.01985479959064698, 0.1720329232814938, 0.4565310409787665]","[0.0, 0.07, -0.07999999999999999, -0.45]",0.0,4,0.4711246288934478,2.624730600346237e-06,0.617364817565495,structured,0.47112722257195583,affine_quadratic
0.9874033883502638,0.9875204952296031,0.9505045229391265,piecewise_iq_wait_fixed_T,702.0,piecewise_wait,0.3002297105650437,0.9874033883502638,Segmented IQ with inserted wait,"[0.0, 0.01985479959064698, 0.1720329232814938, 0.4565310409787665]","[0.0, -0.07558155042615496, 0.1019836280007256, -0.09795095727279476]",0.0,4,0.28348954436579593,2.624730600346237e-06,0.68717367778522,random_small,0.28349213694431197,random_small_a
0.9874033883502638,0.9875204952296031,0.9505045229391265,piecewise_iq_wait_fixed_T,702.0,piecewise_wait,0.283302501641808,0.9874033883502638,Segmented IQ with inserted wait,"[0.0, 0.01985479959064698, 0.1720329232814938, 0.4565310409787665]","[0.0, -0.14316963061722365, -0.06784452853586455, -0.0925209914561794]",0.0,4,0.31047394860758243,2.624730600346237e-06,0.7041008867084557,random_small,0.31047639111233166,random_small_b
0.9874033883502638,0.9875204952296031,0.9505045229391265,piecewise_iq_wait_fixed_T,702.0,piecewise_wait,0.28675468249869324,0.9874033883502638,Segmented IQ with inserted wait,"[0.0, 0.01985479959064698, 0.1720329232814938, 0.4565310409787665]","[0.0, 0.018724941195116196, 0.013795850433603873, -0.02262423370576011]",0.0,4,0.25230439208497074,2.624730600346237e-06,0.7006487058515705,random_small,0.2523069708972494,random_small_c
0.9874033883502638,0.9875204952296031,0.9505045229391265,piecewise_iq_wait_fixed_T,702.0,piecewise_wait,0.2627843065910649,0.9874033883502638,Segmented IQ with inserted wait,"[0.0, 0.01985479959064698, 0.1720329232814938, 0.4565310409787665]","[0.0, -0.38358196631412833, -0.18535917831051535, -0.12144075180652536]",0.0,4,0.3951397637607173,2.624730600346237e-06,0.7246190817591989,random_medium,0.39514183949454723,random_medium_a
0.9874033883502638,0.9875204952296031,0.9505045229391265,piecewise_iq_wait_fixed_T,702.0,piecewise_wait,0.2624296758719826,0.9874033883502638,Segmented IQ with inserted wait,"[0.0, 0.01985479959064698, 0.1720329232814938, 0.4565310409787665]","[0.0, -0.0903433952838546, -0.17040851006458624, 0.5832552195435631]",0.0,4,0.19070185818355234,2.624730600346237e-06,0.7249737124782811,random_medium,0.19070131324105835,random_medium_b
0.9874033883502638,0.9875204952296031,0.9505045229391265,piecewise_iq_wait_fixed_T,702.0,piecewise_wait,0.35742742809902406,0.9874033883502635,Segmented IQ with inserted wait,"[0.0, 0.01985479959064698, 0.1720329232814938, 0.4565310409787665]","[0.0, -0.1502687665241355, -0.27375829854180106, -0.5667744960900678]",0.0,4,0.5645409780073659,2.624730600346237e-06,0.6299759602512395,random_medium,0.5645434772604646,random_medium_c
0.9874033883502638,0.9875204952296031,0.9505045229391265,piecewise_iq_wait_fixed_T,702.0,piecewise_wait,0.24201437843713905,0.9874033883502638,Segmented IQ with inserted wait,"[0.0, 0.01985479959064698, 0.1720329232814938, 0.4565310409787665]","[0.0, -1.130145134429314, 1.022033613710573, -0.8434637555803317]",0.0,4,0.9663057866245753,2.624730600346237e-06,0.7453890099131247,stress,0.9663074045043845,far_from_drift
0.30564948031148154,0.4722021613901001,0.020944809106338537,composite_multitone_fixed_T,702.0,composite_multitone,0.15729154566827838,0.30564948031148154,Composite phase-switched multitone,"[0.0, 0.019854661527736385, 0.17203119524615604, 0.45651980073714704]","[0.0, 0.0, 0.0, 0.0]",0.0,4,0.24413073761167728,8.310915992265941e-06,0.14835793464320315,structured,0.24413885516339046,zero
0.30564948031148154,0.4722021613901001,0.020944809106338537,composite_multitone_fixed_T,702.0,composite_multitone,0.1665526730938587,0.30564948031148154,Composite phase-switched multitone,"[0.0, 0.019854661527736385, 0.17203119524615604, 0.45651980073714704]","[0.0, 0.01985486557068583, 0.1720336137105729, 0.45653624441966834]",0.0,4,8.310915992265941e-06,8.310915992265941e-06,0.13909680721762283,structured,0.0,natural_drift
0.30564948031148154,0.4722021613901001,0.020944809106338537,composite_multitone_fixed_T,702.0,composite_multitone,0.16638180380708445,0.30564948031148154,Composite phase-switched multitone,"[0.0, 0.019854661527736385, 0.17203119524615604, 0.45651980073714704]","[0.0, 0.0, 0.1323238825692021, 0.39697164770760635]",0.0,4,0.03713778666545692,8.310915992265941e-06,0.1392676765043971,structured,0.0371450522129817,kerr_cancel
0.30564948031148154,0.4722021613901001,0.020944809106338537,composite_multitone_fixed_T,702.0,composite_multitone,0.16718884722441196,0.30564948031148154,Composite phase-switched multitone,"[0.0, 0.019854661527736385, 0.17203119524615604, 0.45651980073714704]","[0.0, 0.24, -0.24, 0.24]",0.0,4,0.2574463536439666,8.310915992265941e-06,0.13846063308706957,structured,0.25745073518426237,alternating
0.30564948031148154,0.4722021613901001,0.020944809106338537,composite_multitone_fixed_T,702.0,composite_multitone,0.13369579374098325,0.30564948031148154,Composite phase-switched multitone,"[0.0, 0.019854661527736385, 0.17203119524615604, 0.45651980073714704]","[0.0, 0.07, -0.07999999999999999, -0.45]",0.0,4,0.4711189943836432,8.310915992265941e-06,0.17195368657049828,structured,0.47112722257195583,affine_quadratic
0.30564948031148154,0.4722021613901001,0.020944809106338537,composite_multitone_fixed_T,702.0,composite_multitone,0.15317939902913005,0.30564948031148154,Composite phase-switched multitone,"[0.0, 0.019854661527736385, 0.17203119524615604, 0.45651980073714704]","[0.0, -0.07558155042615496, 0.1019836280007256, -0.09795095727279476]",0.0,4,0.2834839297549469,8.310915992265941e-06,0.15247008128235148,random_small,0.28349213694431197,random_small_a
0.30564948031148154,0.4722021613901001,0.020944809106338537,composite_multitone_fixed_T,702.0,composite_multitone,0.15241140238424247,0.30564948031148154,Composite phase-switched multitone,"[0.0, 0.019854661527736385, 0.17203119524615604, 0.45651980073714704]","[0.0, -0.14316963061722365, -0.06784452853586455, -0.0925209914561794]",0.0,4,0.3104686273126437,8.310915992265941e-06,0.15323807792723906,random_small,0.31047639111233166,random_small_b
0.30564948031148154,0.4722021613901001,0.020944809106338537,composite_multitone_fixed_T,702.0,composite_multitone,0.15657519899676675,0.30564948031148154,Composite phase-switched multitone,"[0.0, 0.019854661527736385, 0.17203119524615604, 0.45651980073714704]","[0.0, 0.018724941195116196, 0.013795850433603873, -0.02262423370576011]",0.0,4,0.2522987843600336,8.310915992265941e-06,0.14907428131471478,random_small,0.2523069708972494,random_small_c
0.30564948031148154,0.4722021613901001,0.020944809106338537,composite_multitone_fixed_T,702.0,composite_multitone,0.15098143813132425,0.30564948031148154,Composite phase-switched multitone,"[0.0, 0.019854661527736385, 0.17203119524615604, 0.45651980073714704]","[0.0, -0.38358196631412833, -0.18535917831051535, -0.12144075180652536]",0.0,4,0.39513522751457486,8.310915992265941e-06,0.15466804218015728,random_medium,0.39514183949454723,random_medium_a
0.30564948031148154,0.4722021613901001,0.020944809106338537,composite_multitone_fixed_T,702.0,composite_multitone,0.16903561041344714,0.30564948031148154,Composite phase-switched multitone,"[0.0, 0.019854661527736385, 0.17203119524615604, 0.45651980073714704]","[0.0, -0.0903433952838546, -0.17040851006458624, 0.5832552195435631]",0.0,4,0.19070292989254015,8.310915992265941e-06,0.1366138698980344,random_medium,0.19070131324105835,random_medium_b
0.30564948031148154,0.4722021613901001,0.020944809106338537,composite_multitone_fixed_T,702.0,composite_multitone,0.12183349002366133,0.30564948031148154,Composite phase-switched multitone,"[0.0, 0.019854661527736385, 0.17203119524615604, 0.45651980073714704]","[0.0, -0.1502687665241355, -0.27375829854180106, -0.5667744960900678]",0.0,4,0.5645355328637311,8.310915992265941e-06,0.1838159902878202,random_medium,0.5645434772604646,random_medium_c
0.30564948031148154,0.4722021613901001,0.020944809106338537,composite_multitone_fixed_T,702.0,composite_multitone,0.12158241237950715,0.30564948031148154,Composite phase-switched multitone,"[0.0, 0.019854661527736385, 0.17203119524615604, 0.45651980073714704]","[0.0, -1.130145134429314, 1.022033613710573, -0.8434637555803317]",0.0,4,0.96630234512709,8.310915992265941e-06,0.1840670679319744,stress,0.9663074045043845,far_from_drift
